iternum,G,E,Dx,Dz,Rx,Rz
41,0.029288619675714035,0.07418544687654662,0.12735058646649122,0.7196313946143441,0.18566224497297537,0.0315456534533397
42,0.029214393752424614,0.07472059260243955,0.03225905531207505,0.7149341313735299,0.1842527221078458,0.03374102663086808
43,0.026421875510688708,0.07492015089677728,0.25607820061723824,0.7128043459809345,0.18414513313251993,0.030751319764100987
44,0.027008877419259236,0.0749477326222088,0.02979645037861622,0.7128788621529288,0.1782178062459697,0.03329591266810894
45,0.02565956099525742,0.07513045519590378,0.12484270058896231,0.7152083101479904,0.18168647068998087,0.030429833528140316
46,0.028869237507814945,0.07480123444743779,0.10453999479827673,0.7137435726497484,0.1793386301268702,0.03249931821356649
47,0.0265444314269268,0.07471614363400833,0.1202414840378839,0.7135590003884357,0.1805924002243125,0.02943446859717369
48,0.030405477256230686,0.07490320471317871,0.06061775034860424,0.7126748224963313,0.1830945831278096,0.030491693917176
49,0.028569441875847784,0.07497347243454146,0.09995206010163478,0.7141018950420878,0.18236400381378506,0.03342256427783033
50,0.027258738551450813,0.07490808646316113,0.07149008446899445,0.7123185525769773,0.18251710806203925,0.03284478479105493
51,0.027165191364474595,0.07483690361613812,0.14980651405842407,0.7125446200370789,0.17801544847695724,0.03182606949754383
52,0.025300418634129608,0.07467649585526923,0.08508571800168442,0.7124973198641902,0.18309731587119724,0.031173860249312027
53,0.02201941874124674,0.0745854993229327,0.2587252845582755,0.7144373940384906,0.17303243992121323,0.03141994628569354
54,0.02363345188939053,0.07470742969409279,0.12065511119916388,0.7146922764570817,0.17500339383664337,0.02892001604904299
55,0.024634371795084164,0.07449217497006706,0.04713485636950835,0.7162055787832841,0.17571138299029807,0.03037496226961198
56,0.02278448750629373,0.07449719083050023,0.07682779941545881,0.7139624357223511,0.18139176005902496,0.030755919363835583
57,0.024063829535051533,0.07430780484624532,0.09781501207338728,0.7152749533238618,0.18129878264406454,0.03336444278450116
58,0.027620014633335497,0.07438768705596095,0.1536301439628005,0.7138682888901752,0.1813755663840667,0.031798435618048126
59,0.026933305451403492,0.07451045707516048,0.08192140398466069,0.7137349273847498,0.17758215380751569,0.034690208247174385
60,0.021595766848844032,0.07442856482837511,0.16077478562036288,0.7141667474871096,0.17763561334299005,0.03197423684532228
61,0.023025797224482118,0.07483186993909918,0.1133572674639847,0.7107624230177506,0.1788402938324472,0.029354961831932484
62,0.024406743792655027,0.07423784227474876,0.20473124953391758,0.715580587801726,0.17568786377492157,0.030125484842321148
63,0.029023559602058453,0.07449166800664819,0.08557741635519525,0.7130032259484996,0.1757025686295136,0.03215915766423163
